"","employees","salaries.2014","salaries.2015","raise","got.raisw"
"1","Employee 1",44011.4719420671,40399.9830689281,-3611.48887313902,FALSE
"2","Employee 2",43546.8348511495,49187.1314041782,5640.29655302875,TRUE
"3","Employee 3",42191.1310660653,37860.5523740407,-4330.57869202457,FALSE
"4","Employee 4",47310.4575648904,48631.9585493766,1321.50098448619,TRUE
"5","Employee 5",40196.6416626237,35958.1142500974,-4238.52741252631,FALSE
"6","Employee 6",47113.1195966154,46861.1963128205,-251.923283794895,FALSE
"7","Employee 7",47731.3383528963,49188.1574387662,1456.81908586994,TRUE
"8","Employee 8",47487.767143175,53528.5042587202,6040.7371155452,TRUE
"9","Employee 9",44530.1137049682,49702.5360830594,5172.42237809114,TRUE
"10","Employee 10",47749.4575129822,53931.7902305629,6182.33271758072,TRUE
"11","Employee 11",46671.0140835494,50770.6381136086,4099.6240300592,TRUE
"12","Employee 12",42822.2578531131,39282.452884363,-3539.8049687501,FALSE
"13","Employee 13",41661.369886715,47373.5923855565,5712.22249884158,TRUE
"14","Employee 14",45245.5666614696,42154.155455064,-3091.41120640561,FALSE
"15","Employee 15",41301.6194524243,41947.8005496785,646.181097254157,TRUE
"16","Employee 16",43151.1435029097,45363.0207083188,2211.87720540911,TRUE
"17","Employee 17",46185.7771407813,41490.0052733719,-4695.77186740935,FALSE
"18","Employee 18",47089.5244856365,50193.3390309568,3103.81454532035,TRUE
"19","Employee 19",42582.3107780889,50075.4846842028,7493.17390611395,TRUE
"20","Employee 20",42240.8560221083,40677.4104433134,-1563.44557879493,FALSE
"21","Employee 21",47168.5631526634,53501.9965085667,6333.43335590325,TRUE
"22","Employee 22",45950.62490087,47391.3362319581,1440.7113310881,TRUE
"23","Employee 23",47925.9510431439,49138.8820810243,1212.93103788048,TRUE
"24","Employee 24",45458.3681025542,46516.2182436325,1057.85014107823,TRUE
"25","Employee 25",45482.9593445174,47204.4567938428,1721.4974493254,TRUE
"26","Employee 26",48835.7624271885,56009.8275670316,7174.06513984315,TRUE
"27","Employee 27",48961.3465685397,54006.2765777111,5044.93000917137,TRUE
"28","Employee 28",44301.7144897021,43184.3934510835,-1117.32103861868,FALSE
"29","Employee 29",45055.7313300669,45162.8017355688,107.070405501872,TRUE
"30","Employee 30",49117.9493675008,55706.1352371238,6588.18586962298,TRUE
"31","Employee 31",46760.9790200368,45125.1030236017,-1635.87599643506,FALSE
"32","Employee 32",42130.2884211764,51899.8788681347,9769.59044695832,TRUE
"33","Employee 33",44301.3953580521,44040.4459484853,-260.94940956682,FALSE
"34","Employee 34",48335.3399019688,51080.5637389421,2745.22383697331,TRUE
"35","Employee 35",40563.1701298989,35851.1239627842,-4712.04616711475,FALSE
"36","Employee 36",45728.7506968714,53750.2905994188,8021.53990254737,TRUE
"37","Employee 37",43467.4312616698,48696.3736230973,5228.94236142747,TRUE
"38","Employee 38",48089.0902271494,52712.5687012449,4623.47847409546,TRUE
"39","Employee 39",49547.0304531045,48754.6687910799,-792.361662024632,FALSE
"40","Employee 40",47669.7554136626,56944.8814599309,9275.12604626827,TRUE
"41","Employee 41",46541.4934721775,43214.7068262566,-3326.78664592095,FALSE
"42","Employee 42",43868.7871280126,53016.6434741113,9147.85634609871,TRUE
"43","Employee 43",48963.0737621337,45880.6544938125,-3082.41926832125,FALSE
"44","Employee 44",46760.2807260118,47017.5042515621,257.223525550216,TRUE
"45","Employee 45",42298.5983174294,39625.4156890791,-2673.18262835033,FALSE
"46","Employee 46",40244.6950483136,47561.0347418115,7316.33969349787,TRUE
"47","Employee 47",42531.6874007694,48614.0010680538,6082.31366728432,TRUE
"48","Employee 48",48568.4764548205,48495.559131261,-72.9173235595226,FALSE
"49","Employee 49",42075.2671803348,37274.2259223014,-4801.04125803337,FALSE
"50","Employee 50",40591.3671199232,37742.7712455392,-2848.59587438405,FALSE
"51","Employee 51",49494.0007268451,56355.1526051015,6861.15187825635,TRUE
"52","Employee 52",41448.4639978036,40149.5767850429,-1298.88721276075,FALSE
"53","Employee 53",46866.337438114,44917.8040865809,-1948.53335153311,FALSE
"54","Employee 54",41373.5825568438,46724.6365209576,5351.05396411382,TRUE
"55","Employee 55",45110.006830655,43130.2097137086,-1979.79711694643,FALSE
"56","Employee 56",44385.8836730942,41594.8634967208,-2791.02017637342,FALSE
"57","Employee 57",46320.0550479814,51150.7591186091,4830.70407062769,TRUE
"58","Employee 58",48079.8568460159,57638.2678269874,9558.41098097153,TRUE
"59","Employee 59",47593.2751432993,55362.5039814506,7769.22883815132,TRUE
"60","Employee 60",44025.8236858062,51747.3999131471,7721.57622734085,TRUE
"61","Employee 61",48863.1852529943,46467.2023709863,-2395.98288200796,FALSE
"62","Employee 62",42745.7664022222,41834.8804209381,-910.885981284082,FALSE
"63","Employee 63",40630.419452209,44186.6118146572,3556.1923624482,TRUE
"64","Employee 64",48169.2080991343,44730.4329893086,-3438.77510982566,FALSE
"65","Employee 65",44507.8272814862,40687.8028111532,-3820.02447033301,FALSE
"66","Employee 66",49649.705037009,44788.9979311731,-4860.7071058359,FALSE
"67","Employee 67",45878.826151602,40938.876651926,-4939.949499676,FALSE
"68","Employee 68",41717.8575368598,37165.059504332,-4552.79803252779,FALSE
"69","Employee 69",47039.9009482935,54118.189237779,7078.2882894855,TRUE
"70","Employee 70",44626.331247855,48659.0064817574,4032.67523390241,TRUE
"71","Employee 71",40107.4171438813,47495.5444643274,7388.12732044607,TRUE
"72","Employee 72",47309.280289337,54468.5380952433,7159.25780590624,TRUE
"73","Employee 73",42476.7408869229,39068.5562137514,-3408.18467317149,FALSE
"74","Employee 74",40908.6706559174,47673.077553045,6764.40689712763,TRUE
"75","Employee 75",48697.3656062037,56905.2768044639,8207.91119826026,TRUE
"76","Employee 76",42559.2109095305,48319.862158969,5760.65124943852,TRUE
"77","Employee 77",41332.5859000906,43751.2696767226,2418.68377663195,TRUE
"78","Employee 78",48693.8698589802,51416.6010369081,2722.73117792793,TRUE
"79","Employee 79",42789.5963913761,45958.2135675009,3168.61717612483,TRUE
"80","Employee 80",49851.6676947474,58049.3138171732,8197.64612242579,TRUE
"81","Employee 81",48589.6466090344,52042.2538893763,3452.60728034191,TRUE
"82","Employee 82",41109.5975502394,46219.1383109894,5109.54076074995,TRUE
"83","Employee 83",42436.3971501589,40381.6876781639,-2054.70947199501,FALSE
"84","Employee 84",49911.102342885,55451.4601966366,5540.35785375163,TRUE
"85","Employee 85",43133.5268868133,43997.0838662703,863.556979456916,TRUE
"86","Employee 86",42614.8481108248,38211.7674371693,-4403.0806736555,FALSE
"87","Employee 87",41374.1054525599,41901.5548343305,527.449381770566,TRUE
"88","Employee 88",42267.3132969067,44780.3322784603,2513.01898155361,TRUE
"89","Employee 89",45725.5460810848,45848.807428265,123.261347180232,TRUE
"90","Employee 90",40534.8082864657,48543.4971493669,8008.68886290118,TRUE
"91","Employee 91",46394.724319689,54924.571091542,8529.84677185304,TRUE
"92","Employee 92",44562.5857147388,42932.6334781945,-1629.95223654434,FALSE
"93","Employee 93",42917.9606726393,40153.7201600149,-2764.24051262438,FALSE
"94","Employee 94",40321.6677182354,42493.895633379,2172.22791514359,TRUE
"95","Employee 95",42855.6977701373,42211.2239070702,-644.473863067105,FALSE
"96","Employee 96",41905.0510902889,41361.2746039871,-543.776486301795,FALSE
"97","Employee 97",45533.5500393994,46642.7312768064,1109.18123740703,TRUE
"98","Employee 98",47877.8359899297,47294.5541969966,-583.281792933121,FALSE
"99","Employee 99",40814.6001957357,40062.6949942671,-751.905201468617,FALSE
"100","Employee 100",47029.9706375226,55486.0077041667,8456.03706664406,TRUE
